id,titulo,autor,siglo,tokens_utiles
67,- XLVI -,Juan de Arguijo,15-17,no marmoles rotos contemplo reliquias nobles gran cartago ni numancia miserable estrago ni despojos efesio templo no sagunto fin unico ejemplo lealtad injusto pago decrecen mi dolor ni satisfago memoria mal nunca templo bien prueba tal vez fantasia vano aliviar desventura desastre sucesos tales razon advierte confia remedio enganoso si procura ajenos consolar males
68,- LII -,Juan de Arguijo,15-17,jabali arcadia leon nemeo toro cien pueblos pavoroso cayeron mis pies victorioso hidra me vio lago lerneo can tres gargantas tifeo fieras guardas claustro tenebroso no burlaron mi intento generoso ni le valio caer fuerte anteo ejemplos mi ilustre vencimiento son aceloo busiris diodemes rey quien huir hesperia mira ufano mis historias cuento cautivo tu prision cuanto puedes si me rendiste oh bella deyamira
69,- XLIII -,Juan de Arguijo,15-17,si pudo anfion dulce canto juntar piedras tebano muro si suave lira oso seguro bajar tracio reino espanto si voz regalada pudo tanto abrio puertas diamante duro rato suspendio aquel oscuro lugar pena miserable llanto si canto admirable fuerza enternece fieros animales si enfrena corriente rios nueva pena mi dolor esfuerza pues descrecen otros males van acrecentando mios
70,A su amada,Miguel de Barrios,15-17,coro amor voz sirena corazones atraes vidas encantas nise divina dulzuras tantas reduces gloria pena suspendida no canta filomena suavidad oyendo cantas metricas voces levantas cefiro arboles no suena arroyo entre flores detenido dulce quiebro tu dulce lira queda florido talamo dormido pues si como tu luz tu canto admira quien falta razon vida sentido hara alma quien ti suspira
71,- L -,Juan de Arguijo,15-17,pudo diestra lira dulce canto bajar orfeo region oscura dl dolor eternamente dura fuerza suspender triste llanto divino concento pudo tanto fuerza fe constante pura recobrar prenda mal segura hallo entrada reinos espanto venturoso amador si no rompiera precepto fatal conservara bien tan largo afan conquista ordena ay dolor suerte fiera cuando dulce voz ganara vuelva perder atrevida vista
72,Competencia entre la rosa y el sol,Isabel de Castro y Andrade,15-17,purpura ostenta disimula nieve entre malezas peregrina rosa mil afectos suspendio frondosa mil donaires ofendio breve madre olores quien ambas debe lisonjas no prenda diosa porque aromas deliciosa sutil alientos bebe prevenir sol tomo licencia sintiolo alto risco sol flores halla le incita mirola fin ardiente basilisco ofendido tanta competencia fulminando veneno marchita
73,A Rómulo que mató a su hermano Remo,Juan de Arguijo,15-17,armas tomo apriesa esforzado quirino hermano mal seguro nueva ciudad primer muro sangre fraterna manchado primero dividido fundado sintio pueblo dano hierro duro presagio cierto rigor futuro amenazaba disponer hado no consintio ojos ver presente algun igual animo ambicioso ni sufrio companero corona natural amor vencio impaciente amor reinar poderoso pues mismo hermano no perdona
74,- VII -,Juan de Arguijo,15-17,deten poco cobarde espada cruel pompilio ingrato considera justa empresa tu brazo espera largos siglos ha ser llorada posible ve tu mano armada contra gran tulio quien librar debiera igual recompensa fiera muerte tu ingratitud encomendada oh cuan poco aprovecha memoria recibido bien obstinado ninguna cosa error le muda desciendo golpe alta gloria latina lengua derribado deja valor elocuencia muda
75,Soneto,Diego de Colmenares,15-17,seguro bien aun temor siquiera no asegura enfado constante faltar contrario repugnante ni triste mal ni bien alegre fuera si ausente sol montana fiera blancas toscas arrastra ignorante herir perpetuo rayo rutilante fuera ceniza cuanta flor espera visten cambron agudo blanca rosa planta amor dedica suelo porque dulce fruta amarga cria bien mal mezclan tela deleitosa esperanza mal causa consuelo temor bien hipocresia
76,A don Agustín de Salazar y Torres,Melchor Fernández de León,15-17,llorad hijas apolo negro dia dueno vapor tan inhumano arrullos esplendor temprano monumento cuajo niebla fria llorad vuestra acorde melodia joven cisne tiempo cano subid privilegio soberano ser alla decima armonia digo solio sera aquel gran vuelo cada escrito noticia advierte le da cada linea nueva gloria pues aca ya nos queda consuelo eternidad le robo muerte hoy restituye memoria
77,Soneto,Luis Martín de la Plaza,15-17,segundo honor cielo cristalino pues ves sol sombra ahuyenta noche cargada tormenta anade confusion mi camino muestra poder resplandor divino aquestos montes tu plata argenta venga tu hermano noche afrenta valgame tu lumbre peregrino asi mar te mires siempre llena pastor quien das abrazos tiernos no te desprecie tener tres caras blanco toro ofrecere tus aras esparza pies blanda arena hiera aire agudos cuernos
78,Soneto,Pedro Castro y Anaya,15-17,copiaste marmol mayor belleza oh lauro tanto lisis parecida dos ya vida dos dureza sola lisis formo naturaleza tu nos diste lisis repetida lisi estatua ella convertida cual dos debe tu destreza no impulso no escultura marmol viviente sucesivo lisis quedase morir ajena arbitrio amor hermosa dura formo otra lisis porque marmol vivo viva inmortal causa mi pena
79,Eróticas – - IV -,Esteban Manuel de Villegas,15-17,solo despicarme tu juego honro diana sacrifico ceres no amor no pesado eres ciego te ame ya miro estas ciego dano tuyo mi bien alego ano ilusion pocos placeres no sufrira quien da mujeres dormida razon despierto ruego goceme esta heredad libreme soto espesura cada mes ciervo tu rapaz gobierna tu venera si mundo holgara mi voto yo le dijera mi reservo fin dijera desden muriera
80,Soneto,Luis Martín de la Plaza,15-17,veo senora son mi instrumento cuando entona mi voz tu nombre santo parar rios escuchar mi canto correr montes callar viento luego si suplico mi tormento huir rios temor espanto ser montes sordos mi llanto viento murmurar triste acento porque hacer arenas oro traes montes verano eterno das olor viento te toca yo deshago llorando tesoro traigo montes helado invierno doy viento fuego mi boca
81,Soneto,Domingo Fuentes y Pardo,15-17,sol entre celajes oriente sube dorar cumbre le espera mediodia turquesada esfera peinando rayos esplendor luciente mar pension paga eminente apenas laurel carrera debido cine cuando ligera caida le amenaza occidente asi mariana felipe aurora apenas llegaba coronarse cuando fatal peligro dano apresta sol alba vano llora mundo pues mira eternizarse dar luz aquel luceros esta
82,Al príncipe nuestro señor Felipe IV,Duque de Osuna y Conde de Ureña,15-17,corrida ofreceros plata oro porque vuestro valor debia aqueste nuevo don hoy os envia india fe rico tesoro cuerno aquel soberbio toro tanto furor perseguia tierra sepultada osadia lleno flores sacro coro presentarle vuestra alteza entre fertiles vegas ha escogido fruta flor abundante humilde don tal grandeza siendo vos senor favorecido hasta hombros llegara atlante
83,"Al capitán Domingo Alonso de la Maza, caballero del hábito de Santiago",Anastasio Pantaleón de Ribera,15-17,esta santiago espada ardiente merecido blason timbre glorioso ennoblece tu pecho belicoso solicita lauros tu frente sonoras trompas tu fama aumente pues denuedo animo brioso te ostentas marte barbaro alevoso te vibras rayo enemiga gente donde gloria tanta ocasiona pues primera catedra presides fatal escuela belona como arbitro absoluto lides donde tu valor te abona maza fuerte invicto alcides
84,"A la majestad del rey Felipe, nuestro señor",Juan de Castellanos,15-17,catolico senor rey soberano do celestial virtud manifiesta cuya potestad hoy tiene puesta dios tutela honor cristiano esta labor lleva solo grano verdad pura examen presta prosecucion resta vuestra majestad pide mano porque si mereciese tal defensa gran memorial redimiendo voy tirania olvido sera insigne recompensa me pueda dar pretendo paga trabajo recibido
85,Pidiendo celos de un marido muerto,Anastasio Pantaleón de Ribera,15-17,tisbe si adoras tu muerto esposo polvo amante mi amor espera pues cuando tus desdenes persevera no morir esta mi amor celoso esperanza espiritu glorioso dime te ofrece si muerte fiera cedio temprana tu aficion primera grave ultimo reposo olvida tisbe logra ya mi vida fe inhabil tanta muerte esta disculpado esta olvido pues eres senora homicida debate yo mejor misma suerte muerto agradecido
86,A don Alonso de Ercilla,Leonor de Iciz,15-17,mil bronces estatuas ya forjados mil lauros tus obras premio honroso te ofrece espana ercilla generoso tu pluma tu lanza tan ganados honrese tu valor entre soldados envidie tu nobleza valeroso busque ti poeta famoso lima versos limados derrame mundo tus loores fama eternice tu memoria porque jamas tiempo consuma gocen ya temor hay mayores tus hechos tus libros igual gloria pues han ganado igual espada pluma
87,"Un amante, abrasando las prendas de su dama",Juan de Jauregui,15-17,paso primavera verano mi esperanza agravio mio esteril sazon seco estio entrega estos despojos vulcano bien sagaz amor intenta vano oponer incendio hielo frio donde turbado pecho pierde brio entorpece cobarde mano razon mi derecho ampara quiero fomente fuego merecido reliquias mueran memorias mias desengano como fenix rara estuvo mi llama consumido vivo renazca entre cenizas frias
88,A la muerte de Lope de Vega,Pedro de la Escalera Guevara,15-17,cisne sagrado cuya docta pluma erudicion admiraciones debe coro sacro ninfas nueve gloria inmortal fama suma tu posteridad presuma decir mi amor elogios no atreve aun acento numeroso breve loca presuncion teme espuma si grande gloria vida conseguiste dulzura nueva cantaste parca lope mejoro tu suerte porque cantas ensenas tu muerte si tu nombre orbe eternizaste nace insigne varon moriste
89,Soneto,Juan de Jauregui,15-17,si amado pecho constante teme olvido amador ausente porque ausencia tiempo no consiente memoria voluntad perseverante yo presencia miserable amante no fui correspondido presente mi ausencia filis no recela siente olvido espero rigor bastante esta imaginacion alma asida mil muertes puede darme yo ella ser puedo mis tormentos homicida como agradan causa bella tanto mis males me reserva vida mayor mal sera perdella
90,A don Diego de Mendoza,Mariana de Vargas y Valderrama,15-17,tronco ilustre donde ha salido vuelves bello fruto rama dandole eterno nombre nueva fama tronco rama fruto merecido digno lauro mundo has adquirido justamente amor te llama cuidadosa amaltea derrama flores tiempo ha recogido quien gran alejandro retratara sino famoso apeles ni le hubiera otro primor le aventajara quien emprendes intentar pudiera ni insigne don diego nos cantara unico cisne si cual tu no fuera
91,A Lope de Vega Carpio,Alonso de Salas Barbadillo,15-17,patria sol alto cielo donde solo sigue camino asi propia patria peregrino cursando divino paralelo alli cercado ambito suelo rompe quebranta hielo cristalino mostrando hombre poder divino presteza hermoso vuelo vos belardo madrid patria dichosa vuestro ingenio celebre seguiste camino desierto raro solo asi esta hazana milagrosa vuestra patria peregrino fuiste como cielo soberano apolo
92,Soneto,Cristóbal de Mesa,15-17,gran razon emperatriz cielo excedes supremas jerarquias te dan eliseo elias todo honor libano carmelo tu diste mundo mayor consuelo tu parto cumplio profecias dando bien dando dios dando mesias mortales miseros suelo tu cual nacio luz mundo lagrimas este oscuro valle nos mira aquesa empirea corte buen puerto aqueste mar profundo saldremos si tu mano gobernalle piloto tu amor tu vista norte
93,Dándome por asunto cortarse un dedo llegando a cortar un jazmín,Sor María de Santa Isabel,15-17,filis amor hechizo soberano cortar quiso jazmin desvanecido cinco mirandose excedido quedo vencimiento ufano no bien corta jazmin cuando tirano acero rojo humor otro ha tenido mintiendo ramillete entretejido jazmin clavel hermosa mano atropos bella tijera cede piadosa ejecucion si inadvertida mano dolor ocasionando si alma sangre dar no puede vez muerte dio jazmin vida amor dulce imperio dilatando
94,De El gran Semiramis,Andrés Rey de Artieda,15-17,ya tiempo vuelo acostumbrado ha traido tal punto mis deseos libre ficciones ni rodeos muestre mi corazon fuerte osado capitan rey tan senalado tan grandes triunfos trofeos persa libios medos nabateos otros mil templos ha adornado no ha sido ninias como habeis creido oh mil vasallos fuertes leales sino madre puesta vestido yo he sido capitan reales mi querido hijo quien ha sido virgen entre virgenes vestales 5
95,A la inmortalidad de Lope de Vega,Jusepe Antonio González de Salas,15-17,vive hombre mortal debil llama arde caduco fragil alimento facil soplo leve aliento ya pavesa esplendor infama vive marmol despues inmortal rama coronado frente no exento ruina aun dura contra curso lento edad ni bulto ni fama solo aquel memoria vive siempre tiempo trascendida gloria eternidad lagrima escribe no pues lope murio si aquella historia mismo vida le apercibe exenta olvido memoria
96,De Victoria por el amor,Jacinto Cordero,15-17,descuidada amor burlas hacia vi ya tu red cautivo ciego necio imaginaba tu fuego cual simple mariposa llama ardia no imaginaba yo porfia habia tal crueldad ya llego mar tu rigor me anego rendida confiesa alma mia no burlas amor loco deseo cuando mal padezco alma escucho si desengano tus fuerzas toco dicho amor no ha hecho empleo desdichado aquel quiso mucho si cuerdo amor le ha vuelto loco
97,Soneto,Francisco de Olaegui,15-17,si levanta mayor vuelo javier espiritu elevado alta region arrebatado peregrino no cielo vuela alas santo celo puro ser dios enamorado amante serafin angel alado accion perpetua inmortal desvelo si noble atributo sabio encierra pacificador propiedades paz unen cielo tierra iris celestial claridades tempestades idolatras destierra causa fe seguridades
98,Soneto,Joseph Lupercio Panzano,15-17,esta correspondencia hoy alcanza javier tu dolor tan ferviente sangre cristo felizmente te esmalta gloria tu esperanza dos semblantes sola mudanza pasar uno otro siente esta no ser imagen solamente algo ha ser semejanza templadas cuerdas instrumento han sido acorde dolor memoria cristo javier asuntos fama feliz santo pues pruebas conocido tu patria solar ejecutoria sangre cristo te derrama
99,Las musas en venta,Francisco de Figueroa,15-17,hay quien quiera comprar nueve doncellas esclavas desterradas tierras do fueron engendradas hay quien compre quien da ellas fueron tiempo todo extremo bellas airosas ricas graves estimadas mucho fueron recuestadas bien pocos alcanzaron favor ellas ahora van tristes mendigando puerta perta rotas baldias aun solo comer venderian pues no son golosas hallando hierbas flores u hojas pasarian sombras frescas aguas fria
100,A la excelentísima historia del señor Juan de Castellanos,Gaspar de Villarroel y Coruña,15-17,dichoso vida muerte quien destina tan bien largo cielo levanta alma vulgo vil espanta monte yerto virtud camina pues tierra antartico vecina apenas tornado si cuanta gente cubre cuerpos cuando canta hechos vuestra trompa peregrina verdad afeite dulzura no vista ilustres versos cristianos engrandeceis estrecha sepultura eternizais valor consejo manos hambre sed guerra dura hechos vuestros vieron soberanos
101,El amor a Jesús,Teresa de Cepeda y Ahumada,15-17,no me mueve mi dios quererte cielo me tienes prometido ni me mueve infierno tan temido dejar eso ofenderte tu me mueves senor mueveme verte clavado esa cruz escarnecido mueveme ver tu cuerpo tan herido muevenme tus afrentas tu muerte muevenme fin tu amor tal manera no hubiera cielo yo te amara no hubiera infierno te temiera no me tienes dar porque te quiera pues espero no esperara mismo te quiero te quisiera
102,Soneto,Francisco Guardia y Belvis,15-17,cuando javier sagrado sol procura desterrar tinieblas oriente divina luz rayo ardiente vana exhalacion exhala impura sale infiel region gentil oscura llega nube cruel rabiosamente desecha sana repente javier llueve piedra dura huye tempestad leno asido imponderable peso rio corre como sagrado ansioso sube rompe olas cristal vencido porque leno jesus siempre socorre triunfa sol javier rio nube
103,Soneto,Alonso Cabello,15-17,memoria viva causa muerta engendra mi dolor tristeza llanto dejame rato descansar tanto mi errado sentido concierta aquesta pena falda yerta alguna parte pagare cuanto ha defraudado sueno si tu espanto como acostumbra aqui no me despierta pues cual loco estoy podras dejarme tomar alivio descansar poco si no quieres muera mi tristeza acaba memoria matarme mayor argumento firmeza morir dolor vivir loco
104,De El padre de su enemigo,Juan de Villegas,15-17,principe ilustre mi piedad advierte pues le pongo fin tu deseo si te quito amor monstruo fiero importa si feduardo darte muerte dolor no si bien tan fuerte excusas muchas mi pecho veo tu mueres vivir creo yo vivo morir infeliz suerte cual dos venturoso ha sido pues puerta te abrio herida pudo salir amor entro olvido dicha pretende quien olvida dejarme padecer apercibido yo quedo amor tu vida
105,A San Isidro,Doctor Campezo,15-17,campos madrid isidro santo son heredad dios tierra cielo pues cuando contemplais eran suelo espiritus divinos entretanto labrador cielo manto os hace sombra mayor consuelo no os cause labor algun desvelo pues gloria cogereis sembrando llanto surcad dios oracion pecho bellos cristales ojos rindan aprisa madrid tributo contentareis dios satisfecho triunfareis gloria despojos sembrando aqui lagrimas fruto
106,A doña Juana,Gregorio Silvestre,15-17,alabastro blanco bien labrado detras velo negro transparente nieve aun pisar no consiente entre polvo grama ha mezclado sol cuando aparece collado quitando luz toda otra gente delante vuestro ser si estais presente todo claro valor sera humillado humillarse vos gracia pura aquesto demas aca criado no pierde beldad natura antes humillar sera ensalzado crezca rojo blanco hermosura sol luz nunca ha dado
107,Soneto,Francisco de Quintana,15-17,lejos si sentimiento ausente cerca dios mismo dios unido ausente porque ajeno sentido unido tener dios presente absorto glorias insensible siente falto discurso si amor vencido dudando propio bien ha recibido confuso ignacio ignora asiente contempla advierte estima atiende adora suma deidad poder bondad alteza poco percibe mucho suspende vese ignorante sabio mejora porque ser dios grandeza solo ignora le comprende
108,Soneto,Damián de Vegas,15-17,si esta sol vestida adornada porque eterno sol vimos ella si plantas luna huella vivos albores circundada si tambien estrellas coronada san juan miro esta candida doncella cual sera cuerpo cual alma ella cosa mortales no alcanzada si angeles puros siempre han sido reina adoran profundo acatamiento quien grandeza nunca manchada dudara atrevido cuando polo polo clama mundo no hay bajo dios igual pureza
109,Epitafio a la muerte de Tirsi,Francisco de Figueroa,15-17,crezca licor llanto mio verde hierba este fertil prado enfrene triste son mi cuidado presuroso curso este rio resuene bosque cavernoso frio ya muerte tirsi tirsi ya acabado dolor terrible sepultado tuvo entero senorio sola esta solitaria selva umbrosa sola esta gentil verde ribera lamentable fin fueron testigos aqui cerro ojos muerte fiera miserable cuerpo aqui reposa llorandolo damon firme amigo
110,De Los hermanos amantes y piedad por fuerza – Jornada primera - Margarita,Fernando de Zarate,15-17,caro ha costarme conocerte molesto amor caro ser constante despreciar rey infante necia resolucion obedecerte celos engendras tu celos muerte contienda celos semejante morir sera accion arrogante porque siempre vence esta suerte si puede matar cualquier celoso enganos tracas desvelos poderoso le alcanza mi ventura mate poder poderoso no vez primera celos hicieron desdichada hermosura
111,Soneto,Juan López de Úbeda,15-17,dulcisimo jesus mi amor festina festina verte peno muero muero ti ansi mi amor quiero quierolo porque amor esto me inclina incliname decir mi amor camina camina le gamo ligero ligero tardarte porque espero espero esperando amor afina enfermo estoy amor sediento sediento como siervo fatigado fatigado amor tengo mi pecho mi pecho solo verte esta contento contento no hay ti jesus amado amado amor fuerte estrecho
112,Zameis,Andrés Rey de Artieda,15-17,pasmado queda pueblo engano tan dulcemente le has traido mi nombre mi rostro mi vestido mil guerras ano otro ano alegre presente desengano cada cual dos reconocido general aplauso alarido te alaba nuestro pueblo extrano yo asi mismo loo tu grandeza encarezco tu espiritu elevado admiro tu prudencia fortaleza ser tu hijo ser ti estimado tengo mayor suerte riqueza si alto amon fuera engendrado
113,Soneto,Sor María de Santa Isabel,15-17,cuando borda perlas aurora tapices matizan bellas flores lisonjas retornan favores enriquece enamora luego sigue sol rayos dora variedad vistosa colores quien aves repitiendo amores hacen salva musica sonora asi yo cuando vi aurora hermosa sol desterro niebla oscura ausencia si ya no sol ni ave racional belleza milagrosa venero verdad sencilla pura premio desden severo grave
114,Roma en ruinas,Cristóbal de Mesa,15-17,teatro capitolio coliseo columnas arcos marmoles medallas valijas capiteles quincallas do vencieron obras deseo templo carros triunfales gran trofeo reino victorias batallas colosos epitafios antiguallas sepulcros desiertos veo piramides pinturas termas banos reliquias ruinas pompa edificio antigua roma si puede tanto curso anos podra ser tambien tiempo rompa mi mal pues toda cosa acaba doma
115,Al matar el toro Felipe IV,Francisco Vivanco,15-17,bruto feliz toda lid guerrero tu propia defensa coronado no me admira venzas osado ver obedezcas si cuando fiero palestra cesar venero te admite empresa tu accion pagado arte debes favor logrado indigno fuiste valor severo rojo aliento furor vestido liquido coral tu ardor desata tanto esfuerzo gusto agradecido docil plomo oh fiera te retrata porque exento vivas vencido vida te solicita si te mata
116,"Un ausente, navegando",Juan de Jauregui,15-17,jamas larga ausencia amada flora sentir podra mi fe mudanza alguna bien me engolfe lleve fortuna remota mar hircana mora si cada espuma levanta agora brillando agua rayo luna naciesen venus ciento cada fuese nuevo amor engendradora estos aquellas igual denuedo cuidasen aumentar fuego mio ni aumentara ni mi fe creciera acrecentalla desconfio vivo eterno afan porque no puedo quereros tanto como yo quisiera
117,Soneto,Juan de Jauregui,15-17,ondas acosado antonio fuerte augusto cleopatra mira dominio incauto aspira otra diadema imperio ausonio entregase amante golfo jonio encendido vil amor ira inmensa armada favor conspira medo persa egipcio macedonio puede triunfar augusto acometiendo tambien huyendo cleopatra puede vencer astuto malicia arte trueca accion contrario huyendo sigue amada fugitiva cede ambas victorias amor marte
118,Al mismo asunto,Anastasio Pantaleón de Ribera,15-17,poca diego soy tinta bien debe esa tinta poca tu pintura tanto espiritu docta mi figura cuanto pudo admitir lamina breve ser eterna aun ti atreve fe materia dura otra vez animada criatura luces tu pincel mi aliento debe ti vuelvo vivir imagen bella paciencia heroica tu mano quedo vocal dice peregrina tanta inmortalidad me adquiero ella entre uno otro ser humano solo primero temo mi ruina
119,Al excelentísimo señor Duque de Lerma en una fiesta de toros,Anastasio Pantaleón de Ribera,15-17,senor si aun peligrando resplandece util ardua tu osadia fausto llame no infeliz dia examinar tu espiritu amanece piadoso riesgo pesar parece tu socorro tu diestra fia si averiguarte inmortal queria ya tu valor tu credito merece huyo tu brazo timida fiera mismo desden fortuna culpa poder hiciste vano gloriosamente desespera sabe esfuerzo ninguna sera mejor ayuda mano
120,Al mismo tema,Juan de Hinojedo Xarava,15-17,como quien contra tosigo veneno cerastas chelidros saca mismas ponzonas triaca arte haciendo malo bueno vuestro ingenio mejor galeno bestia feroz no flaca saca remedio furia aplaca hallando ella rigores freno experiencia aquellos publique quien rigor maltrata pica monstruo ocho pies mordedura vos os lea cuando le pique si vuestros cantos remedio aplica no sentira dolor tal dulzura
121,Soneto,Juan de Castellanos,15-17,aqui lector veras cosas tocantes nuevas tierras influencias varias regiones muchas diferencias barbaros ellas habitantes suplicote no te espantes si fuera guerreras competencias encontrares algunas menudencias desenfado comun caminantes pues viven pocos este dia comenzaron cimientos demas trabajos padecidos conversaciones todavia refieren gratos donosos cuentos no dan sinsabor oidos
122,Soneto,Pedro Dávila y Vera,15-17,no porque nace sol muera aurora ni peligra tus rayos tu belleza antes usando fabio fineza si puede crecer aumenta dora peligro halla gran senora veces mal mayor grandeza padece ti excepcion esta certeza pues feliz suerte tu salud mejora neptuno imperio gobernado aumentan olas elemento fuerte desdichas tantas ha causado centro siempre mejoro suerte viva quien dio aumento deseado pesares tiempo muerte
123,"Vivamus, mea Lesbia, atque amenus...",Luis Martín de la Plaza,15-17,goza tu primavera lesbia mia murmurar cansados viejos encomiendalo viento consejos tremula voz lengua fria ponerse sol apaga dia vuelve encenderse divinos lejos pintan cielos carmin bosquejos oro montes rayos cria sol tus ojos amanece tus labios purpurea competencia agora alba clavel ofrece edad invisible diligencia comun ocaso oscurece cuando tendra volver licencia
124,Eróticas – - V -,Esteban Manuel de Villegas,15-17,herencia tu agripa generoso soltero estas cesar te niega tulia esta ocasion te adora ciega casarse fabio heredar forzoso si tanto amor no acudes ingenioso venus picada fisco entrega pues amigo sigue quien te ruega honra tu amado compra tu reposo desmienta opinion tu buen concepto erario caduco nuevo estado cesar grave tu aficion tulia animo fabio pues si casado ley julia debes este aprieto yo espero tu remedio ley julia
125,A Juan de Castellanos,Bernardo de Vargas Machuca,15-17,vi senor vuestra historia peregrina donde mostrais ingenio peregrino quien desposais dino ella tal esposo no indina sea buena ventura madrina mismo desposado padrino pues rey tiene merecer divino harala respetar como divina moneda castellanos todos tuvieron perfeta subida quilates granos confiad pues dotilocuo poeta labro vuestras manos todos ser grata aceta
126,Soneto,Luis Martín de la Plaza,15-17,reina desotras flores fresca rosa primero honor abril este prado asi te privilegie cierzo helado respete helada rigurosa asi goces hermosa palma mi senora dorado cabello adornes color rosado ver rostro aumentes vergonzosa me guardes lagrimas vierto tu pintado seno si te toca labios aquella quien adoro tus hojas mi bien ira encubierto porque si llegan dulce boca dulces seran lagrimas lloro
127,Soneto,Luis Tejada y Guzmán,15-17,madre esta pura sangre me diste cuando me concebiste me criaste hoy hombre derrame gaste justo pues eso me pariste hijo aun paso ya tu pasion triste dentro alma mia creaste tambien ese sangriento engaste mi cuerpo participe no hiciste porque si cuando yo tanto me humillo dolor afrenta tormento tu cuerpo mi pasion me acompanara no hiriera tu alma tan cruel cuchillo mayor dolor ahora yo siento este dolor mi pasion faltara
128,Soneto,Mateo Vázquez de Leca,15-17,cuerpo dios leandro enternecido cuanto mejor te fuera haber pasado barcos vez mar salado no pasar nado abido no te fuera mejor haber vivido pies enjutos tu mujer gozado no llegar sesto resfriado primera noche marido no son tan necios otros amadores pasan triana sevilla todas noches barquetes nuevos buen alino tuvieron tus amores tu pasado agua hero tortilla cenose diablo par huevos
129,- VIII -,Juan de Arguijo,15-17,gran pompeyo enemigo fuerte llega oscura noche pobre trecho do amicas seguro libre pecho ni teme dano ni recela muerte ya llamar segunda vez advierte rogando deja mal compuesto lecho fragil barca peligroso estrecho corta presago siniestra suerte brama furioso mar sintiendo peso sostiene timido piloto cesar anima dice rema amigo olvida miedo infeliz suceso contrasten euro noto fortuna cesar va contigo
130,A Fabio contra Aníbal Africano,Juan de Arguijo,15-17,mientras quede cartago banderas triunfar intentan valor romano espera victorioso africano pisar vago tiber riberas tu grande dictador entre fieras trompas lento pie segura mano sangre alguna derribaste vano orgullo armas extranjeras no te vencio opinion contraria opuesto rumor tu alabanza facilmente desprecia sabio oh prudente esperar oh voluntaria constancia quien roma ver alcanza anibal roto vencedor fabio
131,- XLIX -,Juan de Arguijo,15-17,no temas oh bellisimo troyano viendo arrebatado nuevo vuelo corvas te levanta cielo feroz ave aire vano nunca has oido nombre soberano alto olimpo piedad celo jupiter da pluvia suelo arma rayos tonante mano cuyas sacras aras humillado gruesos toros ofrece teucro ida implorando remedio querellas mismo soy no aguila eres dado despojo mi amor te trae olvida tu amada troya sube mis estrella
132,- XLI -,Juan de Arguijo,15-17,pues ya desengano luz pura descubre vano error mi cuidado camino escogi enganado me redice otra senda mal segura como no rompo lazo tan dura prision me tiene gravemente atado tardo espero sepultado ciego olvido region oscura afrentoso temor tarda pereza estorbais victoria desengano rindase valor vuestra porfia no diga culpando mi flaqueza atrevido arrojo dano seguir bien falto osadia
133,A Lope de Vega Carpio,Hernando de Soto,15-17,ya divino espiritu primores raro ingenio descubrir pudiera esta vega compone ribera encumbra maleza pastores da arte naturales colores hace propio impropio fuera resucita aquella edad primera ardientes honestisimos amores vega paraiso bello solo honor aumento arcadio suelo hesperia nuestro fiel amparo quien viviendo eternamente apolo apacento humano velo muere parthenopeo sanazaro
134,Soneto,Francisco Caus,15-17,niebla lino campo azul surcaba mausoleo sagrado escondia sol oriente cuyo ocaso dia region augusta trasladaba eminente penasco intentaba rumbo tan feliz turbar guia paro frente bajel quiza seria ver cielo estrellaba viendo fuego era esfera cedio tope tanto esplendor junto no ya risco escollo sino cera asi quiso javier guardarle punto porque sabe sol carrera ecliptica no tuerce difunto
135,Soneto,Antonio de Villegas,15-17,oh quien tuviese corazon acero no fuese falsado arma alguna sufrir golpes fortuna aquellas ansias tristes muero leed senora mi vivir primero revolved hojas tomando inocencia cuna hasta llegar termino postrero adonde podreis ver firmeza accidentes duros suaves llagada pies cabeza dolores agudos son ya graves vereis rendida fortaleza do tiene amor fuerzas vos llaves
136,A los Reyes Católicos,Francisco Ponce de León,15-17,pues vuestra santa fe ciudad planta oh reyes hecho nombre toma tiempo cultor vil mahoma granadino suelo trasplanta nazca alli fulgor gloria tanta celebrar candida paloma pecado cuello doma hija adan si concebida santa si esta devocion pecho pio aquel pueblo alzo dandole ayuda dos principes cristianos como tales no maravilla acreciente brio granada heroica presurosa acuda defender triunfos inmortales
137,- XXXVII -,Juan de Arguijo,15-17,sube gimiendo mortal fatiga grave peso hombros lleva sisifo alto monte cuando prueba pisar cumbre mayor mal obliga cae fiero penasco enemiga suerte cruel duro afan renueva vuelve otra vez dificil prueba trabajo fin consiga no iguala aquella desdicha mia pues algun tiempo alivia tormento hombros tal carga desiguales sufro peso mayor tal porfia punto no perdona pensamiento importuna memoria mis males
138,- LIII -,Juan de Arguijo,15-17,enrique cuatro veces estio robo florido campo colores verano otras tantas vertio flores margenes verdes este rio despues lisonjero desvario surcando falso mar amores corri fortuna roto entre clamores dados vano anego navio libre tierra sali bese arena despojos undosa furia pague cumpliendo voto sacro templo me llama otra vez faz serena mar vuelva mi mi propia injuria ajena basta ti ejemplo
139,Soneto,Juan Rodríguez del Rincón,15-17,tambien eminencia sol rosa monarcas siendo amaga rigores ardientes rayos cierzos vapores tiempo ser grandeza peligrosa todo ti amenazado prodigiosa majestad lloro vanos temores si eternos vinculan ti flores sacro laurel luz tan poderosa frustro fatal hado triste suerte veneno prudencia prevenida veneno grandeza dulce fuerte burla si aun antes nacida provido cielo excusar tu muerte este veneno alimento tu vida
