id,titulo,autor,siglo,tokens_utiles
18,A la muerte de don Rodrigo Calderón,Anastasio Pantaleón de Ribera,15-17,copia amarga funesto llanto desata caminante sentimiento informa miedos hoy tanto escarmiento lagrimas disculpa ejemplo tanto grave te avise te prevenga tanto desengano vida este sangriento este helado castigo instrumento piedad ostenta espanto no natural violento si destino ley impuesta derribo homicida uso indigno altiva suerte muriendo humano vivira divino pues morir le ocasiono vida pues vivir le aseguro muerte
19,Al estrago de la predicación evangélica,Anastasio Pantaleón de Ribera,15-17,preguntasme porque tanto ahinco repugne predicar pues bien podria poco critica osadia subirme mayor pulpito brinco confieso anian talentos cinco son ya solo vana parleria ella gana alma mia pues si flecha ajenas hinco si oido estragado me acomodo estrago doctrina si templo sencillez paredes hablo sacro oficio ya profano todo comedia sermon teatro templo farsante predica autor diablo
20,Sobre el mismo tema,Pedro de la Escalera Guevara,15-17,duerme marmol esta losa fria aquel sol ilustro tanto artes doctos orbe varias partes lloran tanto sueno triste dia patria dulce lagrimas envia queja dolor le repartes huerfana lope tus altas partes plecto tu gran talia docto varon docto fin moriste ensenar ese monumento parca atroz tu divina pluma pues docto varon no venciste ignorante viva viva atento fin ultimo suyo no presuma
21,Soneto amoroso,Juan de Jauregui,15-17,burla blasona corcilla gama bien guarecida entre bosque espeso gran lebrel acosador sabueso cuyo ladrido amenaza llama si enganada hierba grama raso campo estiende pie travieso muriendo paga ligero ecceso vano gremio selvas ama asi mientras cerrado mi aspereza vivi burlaba amor tus rigores enganome rostro lisonjero sali mi siguiendo belleza paraiso perpetuas flores donde tus manos rigurosas muero
22,A San Ignacio de Loyola,Juan de Jauregui,15-17,ved columna descubre senda pielago rubro pueblo amado fuego granizo ved mezclado porque egipcio amenaza entienda ved mar porque golfo encienda angel fuerte pureza armado procelosas ondas arrojado jonas ved ninivita enmienda dios ved espiritu influyendo aguas ved arca ufana vida ofrece borrasca tantos asi ignacio laguna ardiendo vereis caridad ejemplos santos pudieron describir no voz humana
23,A las cenizas del doctor don Juan Pérez de Montalbán,Ángela de Mendoza,15-17,culta pavesa ya si antes alada envidia flores mayo anhelando lucir ardiente rayo epitome reduces este nada caucaso fuiste ya adonde atada idea padecio mortal desmayo hoy cenizas palidas moncayo urna te ceniras bien fabricada quieta reposa pues mientras unida asciendes lograr alto empeno desato lazos tu vida descansa entre sombras este ceno despues quietud interrumpida veras virtud muerte sueno
24,A San Isidro,Felipe Bernardo del Castillo,15-17,campos madrid isidro santo angeles aran cuando tu arrobado estas dios dios tan endiosado heroe labrador da cielo espanto angelicas cohortes entre tanto iban ti ministran tu cuidado candidos bueyes celestial arado campo fructifican sacrosanto aqueste labrador orando alcanza lagrimas gozo enternecido labrarse dios darse tributo angeles estan labranza cosecha cielo le han cogido sembrando aqui lagrimas fruto
25,A la muerte del doctor Juan Pérez de Montalbán,Pablo de Sotomayor,15-17,pindaro espanol cisne raro tan dulce canto docta pluma forma reducida breve fuma ceniza sella aqui este marmol paro pesar envidia ingenio claro nuevo virgilio prudente numa porque olvido nombre no consuma descansa bronce contra tiempo avaro aqui divino montalban reposa tu afecto mueva llanto peregrino perdida temprana lastimosa pues vive inmortal contra destino tan grande varon tan breve losa venera paz sigue tu camino
26,Soneto,Andrés Rey de Artieda,15-17,quien vive aqui c pobre peregrino pues peregrino hogar casa c no veis toda ya desierta rasa solo este sobrado quedo pino quien os trajo tal lugar c mi sino quien sois c soy viento no vuelve pasa tuve favor mundo tuve asa paso buen tiempo adverso vino haceis aqui c cesto canasta tal vez mimbre tal seco esparto gano sustento me basta no me vi os prometo jamas harto pretensiones militares hasta desengano me alquilo este cuarto
27,Soneto,Benito Arias Montano,15-17,quien graves congojas huir desea esta vuestra vida siempre llena ame soledad quieta amena donde ocasiones nunca vea ella paciencia provea contra pensamientos dan pena memoria morir buena defensa cualquier pelea esta amor apasionado no piense estando solo remediarse ni paciencia ni acordar muerte porque causa trae cuidado dentro si mientras quiere alejarse fuerza amor siente fuerte
28,Soneto a San Vicente Ferrer,Gaspar de Aguilar,15-17,juan ofrecio jazmin dechado virginidad maravillosa diego menor trascendente rosa bernardo amante alheli morado domingo noble lirio aventajado antonio fuerte azucena hermosa tomas sutil nepta provechosa lorenzo martir clavel leonado jacinto arrayan esperanza pablo maravilla celo francisco trebol humildad promete estas flores dignas alabanza hizo grande vicente cielo como era valenciano ramillete
