id,titulo,autor,siglo,texto_limpio,tokens_utiles
166,A fray Pedro de Padilla por su Tesoro de poesías publicado en 1587,Ruiz López de Zúñiga,15-17,segundo apolo por venir postrero primero en ser de ingenio levantado y aunque segundo al mundo celebrado del mundo conocido por primero contra el tiempo mas vario y mas ligero la fama escriba tu blason sagrado en templo de e inmortal nombre fijado con tinta de oro y en papel de acero mas deja fama de escribir tal suma pues no puede sumar tanta grandeza cual es la que en padilla encierra el cielo que a su furor divino y su destreza contra la suerte de este fragil suelo le ha de inmortalizar su inmortal pluma,segundo apolo venir postrero primero ser ingenio levantado segundo mundo celebrado mundo conocido primero contra tiempo vario ligero fama escriba tu blason sagrado templo e inmortal nombre fijado tinta oro papel acero deja fama escribir tal suma pues no puede sumar tanta grandeza cual padilla encierra cielo furor divino destreza contra suerte este fragil suelo le ha inmortalizar inmortal pluma
167,Soneto,Fray Antonio Gual,15-17,contra luzbel de tu valor medroso pruebas apenas el acero santo honor del cielo del infierno espanto en nuevo marte ignacio valeroso en dulce cuando paz gozas dichoso divina luz bebiendo sacrosanto del sumo bien asomo febo en tanto que forma siete circulos lustroso nuevo favor a quien no admira el verte de la batalla a la senal primera debida al vencedor gozar la gloria si el embestir te premia de esta suerte dinos o tu que pisas ya la esfera el cielo que te dio por la victoria,contra luzbel tu valor medroso pruebas apenas acero santo honor cielo infierno espanto nuevo marte ignacio valeroso dulce cuando paz gozas dichoso divina luz bebiendo sacrosanto sumo bien asomo febo tanto forma siete circulos lustroso nuevo favor quien no admira verte batalla senal primera debida vencedor gozar gloria si embestir te premia esta suerte dinos tu pisas ya esfera cielo te dio victoria
168,A Lope de Vega Carpio,Pedro Fernández Marañón,15-17,un numero y dulzura milagrosa suave estilo erudicion con seso tiene lope de vega con exceso sobre cuantos escriben verso o prosa natural es el numen y copiosa la vena cual caracter sacro impreso es sabroso en lo lirico y el peso en su epico poema es grave cosa tiene eleccion dispone y en el solo se ve en lo sumo la una y la otra parte de ciencia y natural con tal grandeza que se puede dudar por este apolo si la naturaleza vence al arte o vence el arte a la naturaleza,numero dulzura milagrosa suave estilo erudicion seso tiene lope vega exceso cuantos escriben verso prosa natural numen copiosa vena cual caracter sacro impreso sabroso lirico peso epico poema grave cosa tiene eleccion dispone solo ve sumo otra parte ciencia natural tal grandeza puede dudar este apolo si naturaleza vence arte vence arte naturaleza
169,Al Marqués de Priego,Pedro Fernández Marañón,15-17,dadle senor las alas y las plumas delas aguilas vuestras al que ha sido por aguila y por cisne conocido en delo en delfos en anfiso en cumas en el canopo en las heladas brumas en el adusto etiope tenido y en todo lo que el mar ancho extendido empina montes y sacude espumas dadle senor las plumas y las alas para que vuele sin peligro al sitio de icaro menos cuerdo que ligero envidiarale la tritonia palas conoceranle por apolo pythio y a vos por alejandro de este homero,dadle senor alas plumas delas aguilas vuestras ha sido aguila cisne conocido delo delfos anfiso cumas canopo heladas brumas adusto etiope tenido todo mar ancho extendido empina montes sacude espumas dadle senor plumas alas vuele peligro sitio icaro cuerdo ligero envidiarale tritonia palas conoceranle apolo pythio vos alejandro este homero
170,Juan de Castellanos,Cristóbal de León,15-17,si pudiera llegar mi flaco vuelo adonde con el tuyo te abalanzas tuvieras castellanos alabanzas tan altas que subieran hasta el cielo supla la falta de ellas este celo que tuvo levantadas esperanzas cuando pense con tales confianzas volar sobre los terminos del suelo mas ya que mas no puedo me contento con hacer de mi parte lo posible que es admirarme tu cabal historia de fabricas eterno monumento en verso terso dulce y apacible digno por cierto de inmortal historia,si pudiera llegar mi flaco vuelo adonde tuyo te abalanzas tuvieras castellanos alabanzas tan altas subieran hasta cielo supla falta ellas este celo tuvo levantadas esperanzas cuando pense tales confianzas volar terminos suelo ya no puedo me contento hacer mi parte posible admirarme tu cabal historia fabricas eterno monumento verso terso dulce apacible digno cierto inmortal historia
171,Soneto,Fray Bernardo de Cárdenas,15-17,ensilla sancho amigo a rocinante dame la lanza y yelmo de mambrino acomoda la alforja en el pollino y el balsamo precioso pon delante pues dios me hizo caballero andante hoy desfacer un tuerto determino que face una doncella a un malandrino jayan desaforado y cruel gigante dice que fue su esclava esta doncella y miente pues se yo que cuanto el dice ella gentil deshizo su cabeza a mi me toca sancho el defendella yo soy su caballero y voto hice de defender su virginal pureza subio con ligereza y tomando su yelmo escudo y lanza le siguio su escudero sancho panza,ensilla sancho amigo rocinante dame lanza yelmo mambrino acomoda alforja pollino balsamo precioso pon delante pues dios me hizo caballero andante hoy desfacer tuerto determino face doncella malandrino jayan desaforado cruel gigante dice esclava esta doncella miente pues yo cuanto dice ella gentil deshizo cabeza mi me toca sancho defendella yo soy caballero voto hice defender virginal pureza subio ligereza tomando yelmo escudo lanza le siguio escudero sancho panza
172,Al célebre y aplaudido en el orbe doctor don Juan Pérez de Montalbán,Tomás de Villarín,15-17,yace en aquella losa sepultado el doctor montalban o peregrino a tan de ilustre ingenio y tan divino nombre deten el paso apresurado bien tiene el corazon mas obstinado que este marmol que ves a ti vecino quien no siente su muerte que previno sin tiempo un accidente acelerado mas que si en las naciones mas remotas vive su fama y su alma eternizada entre celebres musas tiene gloria tu que las letras esculpidas notas en vez de incienso y casia regalada consagra un mar de llanto a su memoria,yace aquella losa sepultado doctor montalban peregrino tan ilustre ingenio tan divino nombre deten paso apresurado bien tiene corazon obstinado este marmol ves ti vecino quien no siente muerte previno tiempo accidente acelerado si naciones remotas vive fama alma eternizada entre celebres musas tiene gloria tu letras esculpidas notas vez incienso casia regalada consagra mar llanto memoria
173,Soneto,Diego Ramírez Pagan,15-17,dardanio con el cuento de un cayado el nombre y la figura deshacia de aquella ninfa a quien el mismo habia en mil cortezas de arboles cortado y con el rostro triste y demudado con un ay que del alma le salia oh perversa marfira le decia en quien puse mi fe seso y cuidado si pudiese del alma tu retrato quitar cual de los arboles le quito no harias mi vida ser tan corta mas ay cuan por demas triste me mato que lo que esta en el corazon escrito borrarlo con la corteza poco importa,dardanio cuento cayado nombre figura deshacia aquella ninfa quien mismo habia mil cortezas arboles cortado rostro triste demudado ay alma le salia oh perversa marfira le decia quien puse mi fe seso cuidado si pudiese alma tu retrato quitar cual arboles le quito no harias mi vida ser tan corta ay cuan demas triste me mato esta corazon escrito borrarlo corteza poco importa
174,Soneto,Miguel de la Vena,15-17,mueres heroe glorioso en pobre lecho patente al cielo que su noble llama al corazon amante tanto inflama que respirar no puede en menor trecho y al mirar de la parca el cruel despecho entre asombros suspenso el mundo clama como mueres javier cuando la fama vive de los alientos de tu pecho si al fin del orbe estas como imagina tu ardor que no ha empezado su carrera como mueres a vista de la china que con ansias tu fe y amor espera pero tu luz hallo precisa ruina al ver y no gozar tu amante esfera,mueres heroe glorioso pobre lecho patente cielo noble llama corazon amante tanto inflama respirar no puede menor trecho mirar parca cruel despecho entre asombros suspenso mundo clama como mueres javier cuando fama vive alientos tu pecho si fin orbe estas como imagina tu ardor no ha empezado carrera como mueres vista china ansias tu fe amor espera tu luz hallo precisa ruina ver no gozar tu amante esfera
175,Soneto,Francisco de Terrazas,15-17,dejad las hebras de oro ensortijado que el anima me tienen enlazada y volved a la nieve no pisada lo blanco de esas rosas matizado dejad las perlas y el coral preciado de que esa boca esta tan adornada y al cielo de quien sois tan envidiada volved los soles que le habeis robado la gracia y discrecion que muestra ha sido del gran saber del celestial maestro volvedselo a la angelica natura y todo aquesto asi restituido vereis que lo que os queda es propio vuestro ser aspera cruel ingrata y dura,dejad hebras oro ensortijado anima me tienen enlazada volved nieve no pisada blanco esas rosas matizado dejad perlas coral preciado esa boca esta tan adornada cielo quien sois tan envidiada volved soles le habeis robado gracia discrecion muestra ha sido gran saber celestial maestro volvedselo angelica natura todo aquesto asi restituido vereis os queda propio vuestro ser aspera cruel ingrata dura
176,"Soneto en el libro de Baltasar Gracián, Agudeza y arte de ingenio",Alonso de Salas Barbadillo,15-17,cumbre de santidad monte sagrado que al cielo nos ensena y encamina tan senalado en santidad divina que el mismo dios por vos fue senalado indice de aquel libro celebrado de la verdad que a la virtud inclina y mano que corriste la cortina al sumo dios cubierto y disfrazado para que le mostrais varon famoso a un pueblo que despues tiranamente ha de ser de su sangre carnicero encoged vuestro dedo milagroso y advertir que el mostradle a aquesta gente es mostrar a los lobos el cordero,cumbre santidad monte sagrado cielo nos ensena encamina tan senalado santidad divina mismo dios vos senalado indice aquel libro celebrado verdad virtud inclina mano corriste cortina sumo dios cubierto disfrazado le mostrais varon famoso pueblo despues tiranamente ha ser sangre carnicero encoged vuestro dedo milagroso advertir mostradle aquesta gente mostrar lobos cordero
177,A Joseph de Villaviciosa,Juan Valle de Velasco,15-17,muda mueve abre el cuerpo el pie la pluma pez animal y pajaro y no tanto nada camina y vuela joseph cuanto nada camina y vuela tu honra suma triton ni pardo ni aguila presuma nadar correr volar como tu canto que pone en agua en tierra en aire espanto al de escama al de piel y alas en suma al que nada al que corre y vuela pasa de tus versos y nombre una gran fama que tiene brazos pies y alas sin cuento ni pena monte o nube pone tasa a su mover mudar abrir que llama rio al mar pozo el suelo bajo el viento,muda mueve abre cuerpo pie pluma pez animal pajaro no tanto nada camina vuela joseph cuanto nada camina vuela tu honra suma triton ni pardo ni aguila presuma nadar correr volar como tu canto pone agua tierra aire espanto escama piel alas suma nada corre vuela pasa tus versos nombre gran fama tiene brazos pies alas cuento ni pena monte nube pone tasa mover mudar abrir llama rio mar pozo suelo bajo viento
178,Los quince misterios del Rosario,Andrés Rey de Artieda,15-17,cuando a maria el angel la saluda y ella visita a elisabet su prima cuando pare al que cielo y mundo anima y cuando ordena dios que al templo acuda cuando cristo en el huerto sangre suda el azote y corona le lastima cuando el sagrado leno se echa encima y pasa muerte tan acerba y cruda cuando con triunfo y gloria resucita sube la los cielos y a su iglesia santa el espiritu santo la visita cuando llama a maria sacrosanta y la corona con aplauso y grita para siempre sin fin la iglesia canta,cuando maria angel saluda ella visita elisabet prima cuando pare cielo mundo anima cuando ordena dios templo acuda cuando cristo huerto sangre suda azote corona le lastima cuando sagrado leno echa encima pasa muerte tan acerba cruda cuando triunfo gloria resucita sube cielos iglesia santa espiritu santo visita cuando llama maria sacrosanta corona aplauso grita siempre fin iglesia canta
179,"Soneto a la venida del ilustrísimo y excelentísimo señor Duque de Feria, virrey y capitán general en esta ciudad y reino de Valencia",Carlos Boyl,15-17,el sol de feria envuelto en ferias vino delas grandezas de su insigne estado por quien trae el que menos obligado que contar de la feria de contino segun le va en la feria me imagino que habla el deseo que obligo al feriado y asi en mi obligacion en feria he dado loas al dueno desta feria dino la tienda de esta feria es el venido del mayor atributo que en el suelo presto a la fama para hallar materia por quien la voz del bien agradecido en ferias de su amor puso en el cielo la tienda alegre que le dio esta feria,sol feria envuelto ferias vino delas grandezas insigne estado quien trae obligado contar feria contino segun le va feria me imagino habla deseo obligo feriado asi mi obligacion feria he dado loas dueno desta feria dino tienda esta feria venido mayor atributo suelo presto fama hallar materia quien voz bien agradecido ferias amor puso cielo tienda alegre le dio esta feria
180,A los celos,Anastasio Pantaleón de Ribera,15-17,ah del amor sagrada monarquia cuanto fuera tu yugo mas sabroso si de los celos al dolor forzoso supiera resistirse el alma mia no la inmortal resiste valentia de un alma no rigor tan poderoso que afan le impone eterno sin reposo de los celos la infame tirania cual inmortalidad esta segura del furor de los celos si se atreve a ser aun de las almas homicida no tan grave la ofensa no tan dura al tosigo secreto el labio bebe pues muere sola a su rigor la vida,ah amor sagrada monarquia cuanto fuera tu yugo sabroso si celos dolor forzoso supiera resistirse alma mia no inmortal resiste valentia alma no rigor tan poderoso afan le impone eterno reposo celos infame tirania cual inmortalidad esta segura furor celos si atreve ser aun almas homicida no tan grave ofensa no tan dura tosigo secreto labio bebe pues muere sola rigor vida
181,A la muerte del doctor Juan Pérez de Montalbán,Juan de Vidarte,15-17,vive feliz en patria mas dichosa porcion preciosa de mi triste vida que no se puede no llamar perdida vida mortal que se troco a gloriosa si fue tu muerte para mi llorosa toda esta pena mi memoria olvida pues tu vives en mi que en tu partida tu vida fue con mi vivir forzosa si antes con dos vidas dulcemente viviste y ya con tres vivir te miro logrando el lauro de tu docta frente la que adquirida con tu pluma admiro la gloriosa que gozas eminente y esta mortal con que por ti suspiro,vive feliz patria dichosa porcion preciosa mi triste vida no puede no llamar perdida vida mortal troco gloriosa si tu muerte mi llorosa toda esta pena mi memoria olvida pues tu vives mi tu partida tu vida mi vivir forzosa si antes dos vidas dulcemente viviste ya tres vivir te miro logrando lauro tu docta frente adquirida tu pluma admiro gloriosa gozas eminente esta mortal ti suspiro
182,La virtud a la envidia,Juan de Jauregui,15-17,juez que enormes culpas no corriges y la virtud condenas y aborreces tu que en la ajena dicha te entristeces y el dano ajeno por alivio eliges envidia que traidoras armas riges y a tu pesar si el animo embraveces al envidiado honoras y engrandeces y al envidioso con ahinco afliges hacer podras de tu veneno empleo turbando el pecho que mis obras culpa que en mi no alberga de tu fuego indicio y otra mayor venganza no deseo del que me envidia que su propia culpa donde es castigo de si mesmo el vicio,juez enormes culpas no corriges virtud condenas aborreces tu ajena dicha te entristeces dano ajeno alivio eliges envidia traidoras armas riges tu pesar si animo embraveces envidiado honoras engrandeces envidioso ahinco afliges hacer podras tu veneno empleo turbando pecho mis obras culpa mi no alberga tu fuego indicio otra mayor venganza no deseo me envidia propia culpa donde castigo si mesmo vicio
183,"A la muerte del doctor Juan Pérez de Montalbán, insigne ingenio de España",Francisco Benavides Manrique,15-17,vive oh grande varona mayor fama que te sepa querer la musa mia vive que a tu ceniza aun no bien fria aliento induce repetida llama desprecio de la luz que el sol derrama te presta ardientes mientras forma el dia y como a fenix atropos te fia y a tu nuevo vivir laquesis trama oh tu siempre feliz pues no es incierto que te fomenta apolo como al ave aquella que antes leve fue ceniza oh tu siempre feliz pues aun no has muerto cuando empezando vida mas suave en tu muerte tu vida se eterniza,vive oh grande varona mayor fama te sepa querer musa mia vive tu ceniza aun no bien fria aliento induce repetida llama desprecio luz sol derrama te presta ardientes mientras forma dia como fenix atropos te fia tu nuevo vivir laquesis trama oh tu siempre feliz pues no incierto te fomenta apolo como ave aquella antes leve ceniza oh tu siempre feliz pues aun no has muerto cuando empezando vida suave tu muerte tu vida eterniza
184,"Al sol, amaneciendo",Juan de Jauregui,15-17,rubio planeta cuya lumbre pura del tiempo mide cada punto y hora si el bello objeto que mi pecho adora solo le gozo entre la noche oscura por que ya se adelanta y se apresura tu luz injusta y el oriente dora las sombras alejando de la aurora y con la sombras mi feliz ventura diras que el dulce espacio defraudado ya de la noche me daras el dia tal que de vida un punto no me debas si debes causa del ausencia mia que es vida solo el tiempo que me llevas y el que me ofreces un mortal cuidado,rubio planeta cuya lumbre pura tiempo mide cada punto hora si bello objeto mi pecho adora solo le gozo entre noche oscura ya adelanta apresura tu luz injusta oriente dora sombras alejando aurora sombras mi feliz ventura diras dulce espacio defraudado ya noche me daras dia tal vida punto no me debas si debes causa ausencia mia vida solo tiempo me llevas me ofreces mortal cuidado
185,Soneto,Antonio Hurtado de Mendoza,15-17,amable soledad muda alegria que ni escarmiento ves ni ofensas llora segunda habitacion de las auroras de la verdad primera compania tarde buscaba paz del alma mia que la vana inquietud del mundo ignoras donde no la ambicion hurta las horas y entero nace para un hombre el dia dichosa tu que nunca das venganza ni de palacio ves con propio dano la ofendida verdad de la mudanza la sabrosa mentira del engano la dulce enfermedad de la esperanza la pesada salud del desengano,amable soledad muda alegria ni escarmiento ves ni ofensas llora segunda habitacion auroras verdad primera compania tarde buscaba paz alma mia vana inquietud mundo ignoras donde no ambicion hurta horas entero nace hombre dia dichosa tu nunca das venganza ni palacio ves propio dano ofendida verdad mudanza sabrosa mentira engano dulce enfermedad esperanza pesada salud desengano
186,Lamento de Ariadna,Luis Martín de la Plaza,15-17,la vela de traicion y viento llena con la vista cansada y el deseo sigue ariadna del traidor teseo desde la playa que a su llanto suena sus hebras de oro de piedad ajena injuria y deja en su dorado empleo al aire rico y al azul nereo con perlas que llorando da a la arena vuelve ingrato le dice y al engano con que el honor me quitas no le aumentes la soledad de estos penascos frios mas triste yo que esfuerzo el propio dano pues que te dan con que de mi te ausentes el viento en popa los suspiros mios,vela traicion viento llena vista cansada deseo sigue ariadna traidor teseo playa llanto suena hebras oro piedad ajena injuria deja dorado empleo aire rico azul nereo perlas llorando da arena vuelve ingrato le dice engano honor me quitas no le aumentes soledad estos penascos frios triste yo esfuerzo propio dano pues te dan mi te ausentes viento popa suspiros mios
187,A la Concepción de Nuestra Señora,Fermín de la Puente y APechea,15-17,fue la luz oh senor porque tu hablaste y la tierra y el mar y el firmamento y a solo tu querer mundos sin cuento brotaran como el mundo que creaste solo al formar al hombre trabajaste manos poniendo en ello y pensamiento que al alma hiciste soplo de tu aliento en lodo vil maravilloso engaste mas ah si tanto fue porque tu idea vio que en medio del tiempo aqui en el mundo tu verbo hijo del hombre hombre seria al crear a su madre al decir sea cual formaste oh mi dios yo me confundo la concepcion divina de maria,luz oh senor porque tu hablaste tierra mar firmamento solo tu querer mundos cuento brotaran como mundo creaste solo formar hombre trabajaste manos poniendo ello pensamiento alma hiciste soplo tu aliento lodo vil maravilloso engaste ah si tanto porque tu idea vio medio tiempo aqui mundo tu verbo hijo hombre hombre seria crear madre decir sea cual formaste oh mi dios yo me confundo concepcion divina maria
188,Soneto,Luis Martín de la Plaza,15-17,oh mas de mi que el cefiro estimado humedo noto tu que al sol y al cielo con negros toldos y con pardo velo cubres el rostro azul el crin dorado asi nunca jamas el cierzo airado barriendo nubes y arrojando hielo te quite el manto te ahuyente el vuelo de espesas lluvias y del mar hinchado que en la sondas levantes alboroto y aquella nave en quien mi bien navega la traiga al puerto tu animoso aliento oye mi justo ruego fresco noto mas ay que fruto aguarda quien le entrega sus lagrimas al mar su ruego al viento,oh mi cefiro estimado humedo noto tu sol cielo negros toldos pardo velo cubres rostro azul crin dorado asi nunca jamas cierzo airado barriendo nubes arrojando hielo te quite manto te ahuyente vuelo espesas lluvias mar hinchado sondas levantes alboroto aquella nave quien mi bien navega traiga puerto tu animoso aliento oye mi justo ruego fresco noto ay fruto aguarda quien le entrega lagrimas mar ruego viento
189,Soneto,Bartolomé Sánchez,15-17,habeis echado el sello a nuestra ciencia con tal sublime obra buen silvano diciendo del ilustre altamirano el valor cristiandad y la paciencia infalible verdad fue la pendencia que ramos tuvo con el luterano vengo al pastor la poderosa mano dandonos a entender su omnipotencia que al humilde levanta y le da loa y al soberbio arrogante echa por tierra estilo del senor muy ordinario recibe de mi mano buen balboa este soneto criollo de la tierra en senal de que soy su tributario,habeis echado sello nuestra ciencia tal sublime obra buen silvano diciendo ilustre altamirano valor cristiandad paciencia infalible verdad pendencia ramos tuvo luterano vengo pastor poderosa mano dandonos entender omnipotencia humilde levanta le da loa soberbio arrogante echa tierra estilo senor ordinario recibe mi mano buen balboa este soneto criollo tierra senal soy tributario
190,Soneto,Matías Juan Beana,15-17,que sentimiento cielo tan extrano descubro en este bulto peregrino de aquel que el rio tabor en luz divino en navarra se de sangriento un bano si cada fuente vierte por su cano licor precioso que del cielo vino segunda vez redime su amor fino al mundo todo que rindio el engano mas ay que afan le hiere aunque distante que del indio javier por dios padece correspondido con dolor profundo y siendo de javier el mas amante si por el orbe su coral ofrece le vierte por javier que pesa un mundo,sentimiento cielo tan extrano descubro este bulto peregrino aquel rio tabor luz divino navarra sangriento bano si cada fuente vierte cano licor precioso cielo vino segunda vez redime amor fino mundo todo rindio engano ay afan le hiere distante indio javier dios padece correspondido dolor profundo siendo javier amante si orbe coral ofrece le vierte javier pesa mundo
191,"Enójase el autor con una dama, que el enamorarla fue causa de que hiciera versos",Alberto Díez,15-17,por mujer que no pide apasionado a tus partes estuve muy rendido y viendo celebrabas lo entendido procure de escribirse con cuidado halleme a tu discurso enamorado y para las disculpas de atrevido mi amor de codicioso te ha metido a poeta por ser mas licenciado pidierasme dinero hermosa anarda y no hacerme caer en tan perversos delitos que no hay forma que me cobre no he de verte en mi vida guarda guarda que pues eres la causa que haga versos sin pedirme ni darte me haces pobre,mujer no pide apasionado tus partes estuve rendido viendo celebrabas entendido procure escribirse cuidado halleme tu discurso enamorado disculpas atrevido mi amor codicioso te ha metido poeta ser licenciado pidierasme dinero hermosa anarda no hacerme caer tan perversos delitos no hay forma me cobre no he verte mi vida guarda guarda pues eres causa haga versos pedirme ni darte me haces pobre
192,A la Carolea,Jerónimo Sempere,15-17,del delfico laurel que fue corona de augusta majestad de emperadores fue premio de poetas moradores de aquel virgineo y fertil helicona de entrambos sacra ha sido la persona y el uno al otro da eternos favores que un cesar es sujeto de escritores y un escritor los cesares pregona aqui un poeta celebre y perfecto de tal modo hace eterna la memoria de un cesar carlo rey de las espanas que carlo a mil poetas dio subjeto y a mil emperadores diera gloria quien canta aqui sus inclitas hazanas,delfico laurel corona augusta majestad emperadores premio poetas moradores aquel virgineo fertil helicona entrambos sacra ha sido persona uno otro da eternos favores cesar sujeto escritores escritor cesares pregona aqui poeta celebre perfecto tal modo hace eterna memoria cesar carlo rey espanas carlo mil poetas dio subjeto mil emperadores diera gloria quien canta aqui inclitas hazanas
193,- XI -,Juan de Arguijo,15-17,presenta ufano a cesar victorioso el tirano de menfis inclemente la temida cabeza que al oriente tuvo al son de las armas temeroso no pudo dar el corazon piadoso enjutos ojos ni serena frente al don funesto mas gimio impaciente de tal crueldad y repitio lloroso tu gran pompeyo en la fatal caida seras ejemplo de la humana gloria y cierto aviso de su fin incierto cuanto se debe a tu virtud crecida cuan costoso en tu muerte es mi victoria vivo te aborreci te lloro muerto,presenta ufano cesar victorioso tirano menfis inclemente temida cabeza oriente tuvo son armas temeroso no pudo dar corazon piadoso enjutos ojos ni serena frente don funesto gimio impaciente tal crueldad repitio lloroso tu gran pompeyo fatal caida seras ejemplo humana gloria cierto aviso fin incierto cuanto debe tu virtud crecida cuan costoso tu muerte mi victoria vivo te aborreci te lloro muerto
194,Soneto,Francisco Bueno,15-17,cuando en cruz interior javier penaba cristo ansioso tambien sangre vertia tan cerca de divino parecia que las venas la cruz equivocaba tanto su corazon crucificaba que del dolor el merito queria explicarse cruento y no podia porque en su sangre el merito no hallaba y este fue el padecer mas exquisito pues de unas ansias de tormento llenas limito el merecer un ser finito y a su cruz no bastando humanas venas por que el merito llegue a lo infinito puso la sangre dios javier las penas,cuando cruz interior javier penaba cristo ansioso tambien sangre vertia tan cerca divino parecia venas cruz equivocaba tanto corazon crucificaba dolor merito queria explicarse cruento no podia porque sangre merito no hallaba este padecer exquisito pues ansias tormento llenas limito merecer ser finito cruz no bastando humanas venas merito llegue infinito puso sangre dios javier penas
195,Soneto,Juan de Arguijo,15-17,de ciega oscuridad y horror cubierta esta la tierra en tanto que el hermano de la silvestre diosa sale ufano del rojo oriente por la eburnea puerta ante sus ojos ve la muerte cierta el piloto en el pielago inhumano mas dando el viento a sus deseos la mano en vida trueca la esperanza muerta tras la importuna guerra se consigue para dichosos anos paz segura tu pues en medio de tus males fia que al fin es cosa cierta que se sigue tras la tormenta guerra noche oscura buen tiempo dulce paz alegre dia,ciega oscuridad horror cubierta esta tierra tanto hermano silvestre diosa sale ufano rojo oriente eburnea puerta ante ojos ve muerte cierta piloto pielago inhumano dando viento deseos mano vida trueca esperanza muerta tras importuna guerra consigue dichosos anos paz segura tu pues medio tus males fia fin cosa cierta sigue tras tormenta guerra noche oscura buen tiempo dulce paz alegre dia
196,Soneto,Francisco del Campo,15-17,siente a pesar del marmol el aliento que otra vez por javier amante espira y el alma que en la estatua el arte inspira segunda vez le roba el sentimiento o cuanto de javier pesa el tormento pues el marmol con el sudarse mira que no herira la pena que respira si a un dios en un castillo no esta exento padece cristo al ver que javier pena y muerto viva sangre de si vierte ya de su faz la luz siempre serena en fatales eclipses se convierte pero o cuanto de cerca hara la pena que a un inmortal de lejos da la muerte,siente pesar marmol aliento otra vez javier amante espira alma estatua arte inspira segunda vez le roba sentimiento cuanto javier pesa tormento pues marmol sudarse mira no herira pena respira si dios castillo no esta exento padece cristo ver javier pena muerto viva sangre si vierte ya faz luz siempre serena fatales eclipses convierte cuanto cerca hara pena inmortal lejos da muerte
197,- LIV -,Juan de Arguijo,15-17,labra artemisa el grande mausoleo que los altos piramides afrenta del egipcio soberbio y no contenta busca a su ilustre fe mayor trofeo del tierno y casto pecho en nuevo empleo hacer sepulcro al muerto esposo intenta cuyas cenizas de su amor sedienta bebe con ansias de inmortal deseo mal podra dice la enemiga muerte de ti dulce mauseolo dividirme ni en largo olvido sepultar tu gloria que de su injuria basta a defenderme mi pecho mas que el bronce y marmol firme y eternizar mi amor y su memoria,labra artemisa grande mausoleo altos piramides afrenta egipcio soberbio no contenta busca ilustre fe mayor trofeo tierno casto pecho nuevo empleo hacer sepulcro muerto esposo intenta cuyas cenizas amor sedienta bebe ansias inmortal deseo mal podra dice enemiga muerte ti dulce mauseolo dividirme ni largo olvido sepultar tu gloria injuria basta defenderme mi pecho bronce marmol firme eternizar mi amor memoria
198,Soneto,Joseph Miralles,15-17,basta a las glorias basta a los favores mas a las penas mas a los tormentos basta a las alegrias y contentos mas a las aflicciones y rigores basta a los dulces del amor primores mas a los del rigor abatimiento basta a los del favor conocimientos mas a los del afan y los dolores ser en no querer premios importuno desconocerse a si por conocerse de los consuelos no querer ninguno de otro y no de si compadecerse en el mundo estas cosas tuvo alguno hasta que en el francisco llego a verse,basta glorias basta favores penas tormentos basta alegrias contentos aflicciones rigores basta dulces amor primores rigor abatimiento basta favor conocimientos afan dolores ser no querer premios importuno desconocerse si conocerse consuelos no querer ninguno otro no si compadecerse mundo estas cosas tuvo alguno hasta francisco llego verse
199,- XXXVIII -,Juan de Arguijo,15-17,con presto curso y con veloz denuedo sigue apolo la hija de peneo hurto el uno las alas al deseo y al otro le presto sus pies el miedo por que te alejas si alcanzar te puedo le dijo de mi amor oh digno empleo piensas cual aretusa de su alfeo huir de mi que al vago viento excedo alento la carrera y ya vencida cuido tener de dafne la dureza tanto se le acerco el amante ciego mas del piadoso padre socorrida trocando en arbol su mortal belleza burlo sus brazos y avivo su fuego,presto curso veloz denuedo sigue apolo hija peneo hurto uno alas deseo otro le presto pies miedo te alejas si alcanzar te puedo le dijo mi amor oh digno empleo piensas cual aretusa alfeo huir mi vago viento excedo alento carrera ya vencida cuido tener dafne dureza tanto le acerco amante ciego piadoso padre socorrida trocando arbol mortal belleza burlo brazos avivo fuego
200,Soneto,Francisco Caus,15-17,impura tempestad dura tormenta fantastico vapor del sueno mueve contra el candor que inmunidades bebe del ampo en que el angel se alimenta dormido le asalto llama violenta que acara descubierta no se atreve pero como dio en manos de la nieve se hiela el fuego y la pureza alienta lo que de impuro concibio el sentido por matices y boca se vio luego en espumas de sangre divertido con ella quedo frio el ardor ciego porque en batallas torpes aun dormido lo lleva javier todo sangre fuego,impura tempestad dura tormenta fantastico vapor sueno mueve contra candor inmunidades bebe ampo angel alimenta dormido le asalto llama violenta acara descubierta no atreve como dio manos nieve hiela fuego pureza alienta impuro concibio sentido matices boca vio luego espumas sangre divertido ella quedo frio ardor ciego porque batallas torpes aun dormido lleva javier todo sangre fuego
201,A don Diego de Mendoza y a su fama,Ortigal de Cervantes,15-17,en la memoria vive de las gentes varon famoso siglos infinitos premio que le merecen tus escritos por graves puros castos y excelentes las ansias en honesta llama ardientes los etnas los setigios los cozitos que en ellos suavemente van descritos mira si es bien o fama que los cuentes y aunque los lleves en ligero vuelo por cuanto cine el mar y el sol rodea y en laminas de bronce los esculpas que asi el suelo sabra que sabe el cielo que el renombre inmortal que se desea tal vez le alcancen amorosas culpas,memoria vive gentes varon famoso siglos infinitos premio le merecen tus escritos graves puros castos excelentes ansias honesta llama ardientes etnas setigios cozitos ellos suavemente van descritos mira si bien fama cuentes lleves ligero vuelo cuanto cine mar sol rodea laminas bronce esculpas asi suelo sabra sabe cielo renombre inmortal desea tal vez le alcancen amorosas culpas
